Customer_ID,Age_Group,Gender,Join_Date
C0832,55+,M,2022-10-15
C0833,46-55,F,2021-11-04
C0834,46-55,M,2022-01-13
C0835,36-45,M,2021-07-25
C0836,18-25,M,2021-07-10
C0837,26-35,F,2021-03-17
C0838,46-55,F,2021-09-12
C0839,18-25,F,2022-12-23
C0840,36-45,M,2021-06-22
C0841,55+,F,2021-08-17
C0842,36-45,M,2022-04-17
C0843,36-45,M,2021-07-27
C0844,46-55,F,2021-05-16
C0845,26-35,M,2022-12-27
C0846,46-55,M,2022-11-28
C0847,55+,M,2022-07-11
C0848,46-55,F,2021-10-17
C0849,55+,F,2021-06-04
C0850,46-55,F,2022-08-08
C0851,26-35,M,2021-06-12
C0852,18-25,M,2022-06-23
C0853,26-35,F,2022-12-20
C0854,46-55,M,2021-07-21
C0855,36-45,F,2022-05-01
C0856,18-25,F,2021-02-26
C0857,36-45,F,2022-09-10
C0858,26-35,F,2022-05-14
C0859,18-25,M,2021-02-23
C0860,46-55,M,2022-02-14
C0861,36-45,M,2021-07-13
C0862,46-55,F,2022-08-29
C0863,55+,M,2022-02-23
C0864,18-25,F,2021-08-09
C0865,36-45,F,2021-09-05
C0866,26-35,F,2022-03-27
C0867,26-35,M,2022-03-25
C0868,26-35,F,2021-03-22
C0869,26-35,M,2021-04-29
C0870,36-45,M,2021-12-06
C0871,55+,M,2021-07-28
C0872,26-35,M,2021-12-16
C0873,26-35,M,2022-05-31
C0874,26-35,M,2021-07-09
C0875,55+,M,2021-05-06
C0876,18-25,M,2022-09-08
C0877,26-35,F,2021-08-11
C0878,26-35,F,2021-08-20
C0879,26-35,M,2022-04-06
C0880,18-25,M,2021-10-19
C0881,26-35,M,2022-03-17
C0882,18-25,M,2022-11-24
C0883,18-25,M,2022-12-09
C0884,46-55,F,2022-11-20
C0885,46-55,M,2022-07-16
C0886,26-35,M,2022-01-27
C0887,36-45,M,2022-07-17
C0888,46-55,F,2021-07-13
C0889,46-55,F,2021-02-09
C0890,36-45,M,2021-09-17
C0891,55+,F,2021-03-11
C0892,26-35,F,2021-03-28
C0893,55+,F,2022-08-12
C0894,55+,F,2021-02-25
C0895,18-25,F,2022-09-23
C0896,18-25,F,2021-06-06
C0897,26-35,F,2021-05-07
C0898,36-45,F,2021-01-13
C0899,18-25,M,2021-09-14
C0900,46-55,M,2022-02-25
C0901,26-35,F,2021-05-28
C0902,55+,F,2022-11-03
C0903,26-35,M,2022-12-04
C0904,18-25,M,2021-07-20
C0905,36-45,F,2022-10-21
C0906,55+,M,2021-12-04
C0907,36-45,F,2021-12-04
C0908,26-35,M,2021-09-08
C0909,36-45,F,2021-09-16
C0910,36-45,M,2022-02-23
C0911,26-35,F,2021-10-21
C0912,55+,M,2022-02-12
C0913,36-45,M,2022-10-07
C0914,36-45,F,2022-01-08
C0915,26-35,F,2021-02-06
C0916,46-55,M,2022-06-19
C0917,36-45,M,2021-12-13
C0918,18-25,F,2022-09-06
C0919,55+,M,2021-08-22
C0920,36-45,M,2021-09-27
C0921,26-35,M,2021-08-24
C0922,18-25,M,2021-05-18
C0923,26-35,M,2022-04-30
C0924,36-45,F,2022-05-13
C0925,18-25,M,2021-11-11
C0926,55+,M,2021-09-22
C0927,55+,F,2021-09-07
C0928,55+,F,2022-01-02
C0929,46-55,F,2022-08-02
C0930,26-35,F,2022-04-05
C0931,36-45,F,2021-12-06
C0932,18-25,M,2021-07-04
C0933,26-35,M,2021-01-07
C0934,36-45,M,2021-01-09
C0935,46-55,F,2021-10-29
C0936,36-45,F,2021-03-22
C0937,26-35,F,2022-06-27
C0938,36-45,M,2022-04-25
C0939,18-25,M,2021-12-03
C0940,46-55,M,2021-03-11
C0941,18-25,M,2022-05-28
C0942,46-55,M,2021-05-18
C0943,46-55,M,2022-06-26
C0944,36-45,F,2022-05-13
C0945,18-25,M,2021-02-13
C0946,46-55,M,2022-05-15
C0947,46-55,M,2022-01-09
C0948,36-45,M,2021-09-11
C0949,26-35,M,2021-06-06
C0950,26-35,F,2021-10-30
C0951,55+,M,2022-05-10
C0952,55+,M,2022-11-30
C0953,46-55,F,2022-06-03
C0954,26-35,F,2021-06-09
C0955,46-55,M,2021-12-19
C0956,18-25,M,2022-12-31
C0957,26-35,M,2021-10-09
C0958,26-35,M,2021-06-12
C0959,26-35,M,2021-11-01
C0960,55+,F,2021-03-23
C0961,36-45,F,2022-03-29
C0962,36-45,M,2022-06-02
C0963,55+,M,2022-03-23
C0964,55+,F,2021-07-08
C0965,55+,F,2021-01-14
C0966,36-45,M,2022-04-03
C0967,46-55,M,2022-12-22
C0968,55+,M,2022-11-16
C0969,46-55,M,2021-08-05
C0970,46-55,M,2021-03-31
C0971,18-25,M,2021-10-21
C0972,36-45,F,2021-05-28
C0973,46-55,F,2021-03-02
C0974,36-45,F,2021-11-01
C0975,36-45,F,2021-10-27
C0976,18-25,M,2022-08-25
C0977,36-45,F,2022-12-11
C0978,46-55,F,2021-12-09
C0979,26-35,M,2022-08-20
C0980,46-55,F,2021-07-19
C0981,46-55,M,2022-05-27
C0982,36-45,M,2022-02-03
C0983,46-55,F,2022-08-25
C0984,26-35,F,2022-12-01
C0985,36-45,F,2021-05-10
C0986,55+,M,2021-11-03
C0987,46-55,F,2022-03-10
C0988,46-55,M,2021-08-16
C0989,18-25,F,2021-02-16
C0990,55+,M,2022-01-10
C0991,55+,F,2021-10-04
C0992,26-35,F,2021-11-27
C0993,55+,M,2021-06-22
C0994,18-25,F,2021-01-23
C0995,26-35,F,2021-10-04
C0996,55+,M,2022-11-29
C0997,26-35,F,2022-04-29
C0998,55+,F,2022-11-21
C0999,55+,M,2022-09-01
C1000,55+,F,2022-12-06
